"Can't update item which moved from quote request.","Can't update item which moved from quote request."
"Clone as Quote","Clone as Quote"
View,View
Ordered,Ordered
Invoiced,Invoiced
Shipped,Shipped
Refunded,Refunded
"Quote Comments","Quote Comments"
"Quote Total","Quote Total"
"Quote History","Quote History"
"Quote Currency:","Quote Currency:"
Qty,Qty
"Row Subtotal","Row Subtotal"
Action,Action
"No ordered items","No ordered items"
"Update Items and Quantities","Update Items and Quantities"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,Subtotal:
"Tier Pricing","Tier Pricing"
"Custom Price","Custom Price"
"Please select","Please select"
Remove,Remove
"Subscribe to Newsletter","Subscribe to Newsletter"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Customer Name: %1","Customer Name: %1"
"Created From: %1","Created From: %1"
"Gift Message","Gift Message"
From:,From:
To:,To:
Message:,Message:
"Discount (%1)","Discount (%1)"
Discount,Discount
"Shipping &amp; Handling","Shipping &amp; Handling"
Tax,Tax
"Address Information","Address Information"
"Payment &amp; Shipping Information","Payment &amp; Shipping Information"
"Order Total","Order Total"
"Order History","Order History"
"Order Currency:","Order Currency:"
"Same As Billing Address","Same As Billing Address"
"Select from existing customer addresses:","Select from existing customer addresses:"
"Add New Address","Add New Address"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","You don't need to select a shipping address."
Remarks,Remarks
"Customer Remarks","Customer Remarks"
"Admin Remarks","Admin Remarks"
"Quote & Account Information","Quote & Account Information"
"Quote Date","Quote Date"
"Quote Date (%1)","Quote Date (%1)"
Status,Status
"Expiry Date","Expiry Date"
"Reminder Date","Reminder Date"
"Created From","Created From"
"Link to the New Quote","Link to the New Quote"
"Link to the Previous Quote","Link to the Previous Quote"
"Placed from IP","Placed from IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Edit Customer","Edit Customer"
"Customer Name","Customer Name"
Email,Email
